day_of_year_norm,temperature_2m_max_mean,temperature_2m_max_std,temperature_2m_max_min,temperature_2m_max_max,temperature_2m_min_mean,temperature_2m_min_std,temperature_2m_min_min,temperature_2m_min_max,precipitation_sum_mean,precipitation_sum_std,precipitation_sum_min,precipitation_sum_max,n_observations,temperature_2m_max_mean_smoothed,temperature_2m_min_mean_smoothed,precipitation_sum_mean_smoothed
231,27.8,3.2,23.3,30.9,19.64,3.1,15.5,24.0,7.14,10.3,0.0,24.7,5,26.762857142857143,19.365714285714287,4.262857142857143
232,26.84,3.15,22.6,30.9,18.74,3.13,15.7,22.5,0.38,0.33,0.0,0.9,5,26.89142857142857,19.248571428571427,4.76
233,27.3,2.95,22.8,31.0,18.56,3.46,12.8,22.0,0.22,0.23,0.0,0.5,5,27.36285714285714,19.214285714285715,4.5200000000000005
234,25.68,2.4,23.7,29.6,19.2,4.02,12.8,22.4,13.1,21.48,0.0,49.6,5,27.742857142857144,19.25142857142857,4.422857142857143
235,27.22,1.36,24.9,28.3,18.52,3.71,13.1,21.9,7.48,14.0,0.0,32.2,5,27.874285714285715,19.391428571428573,3.5942857142857143
236,29.08,3.08,23.8,31.2,19.78,3.07,14.6,22.1,0.46,0.97,0.0,2.2,5,28.414285714285715,19.594285714285714,3.6285714285714286
237,30.28,2.53,26.8,33.8,20.32,2.07,17.2,22.8,2.18,4.38,0.0,10.0,5,28.59142857142857,19.9,3.782857142857143
238,28.72,1.35,26.9,30.7,20.62,1.76,18.7,22.9,1.34,1.77,0.0,4.4,5,28.680000000000003,20.062857142857144,2.6314285714285717
239,30.62,2.61,28.2,34.3,20.16,2.49,17.7,24.1,0.62,0.7,0.1,1.8,5,28.7,20.351428571428567,1.782857142857143
240,28.54,4.18,24.2,34.5,20.7,1.23,19.1,21.8,1.3,2.08,0.0,5.0,5,28.322857142857142,20.22,1.7514285714285713
241,26.3,1.48,24.4,28.2,20.34,1.75,18.3,22.5,5.04,8.4,0.3,19.8,5,27.762857142857143,20.062857142857144,3.7942857142857145
242,27.36,2.67,23.4,29.9,20.54,1.84,18.5,22.3,1.54,1.3,0.1,3.6,5,27.254285714285714,19.46,4.548571428571429
243,26.44,2.67,23.2,29.3,18.86,2.54,15.9,21.7,0.24,0.48,0.0,1.1,5,26.66,19.054285714285715,5.04
244,26.36,3.17,23.7,30.8,19.22,3.19,13.6,21.3,16.48,35.9,0.0,80.7,5,26.625714285714285,18.62,5.048571428571429
245,25.16,0.86,24.5,26.6,16.4,2.95,12.5,20.4,6.62,10.02,0.0,22.6,5,26.762857142857143,18.33428571428571,4.482857142857143
246,26.46,4.15,22.2,32.4,17.32,4.02,12.5,23.0,4.06,8.91,0.0,20.0,5,26.725714285714286,18.142857142857142,5.3028571428571425
247,28.3,3.97,24.4,34.0,17.66,3.7,12.4,21.0,1.36,2.34,0.0,5.4,5,26.720000000000002,18.017142857142858,5.871428571428571
248,27.26,4.42,23.6,34.5,18.34,3.61,13.2,22.1,1.08,1.7,0.0,3.9,5,26.634285714285713,17.791428571428572,3.585714285714286
249,27.1,4.48,22.2,34.4,19.2,2.99,15.0,23.1,7.28,15.94,0.0,35.8,5,26.714285714285715,17.934285714285714,3.531428571428571
250,26.4,4.73,22.8,34.6,17.98,2.68,15.0,22.0,4.22,5.43,0.0,12.3,5,26.580000000000002,17.97714285714286,3.9114285714285715
251,25.76,3.24,21.8,30.6,17.64,3.72,11.6,20.7,0.48,0.8,0.0,1.9,5,26.10857142857143,17.857142857142858,4.511428571428572
252,25.72,1.79,23.3,28.2,17.4,3.91,11.1,20.6,6.24,10.3,0.0,24.0,5,25.942857142857143,17.802857142857142,4.631428571428572
253,25.52,1.6,23.2,26.8,17.62,3.18,14.1,22.0,6.72,9.22,0.0,17.5,5,25.774285714285714,17.771428571428572,4.6085714285714285
254,25.0,0.97,23.8,26.5,16.82,3.06,12.9,19.8,5.56,7.28,0.0,15.2,5,25.731428571428573,17.6,4.017142857142857
255,26.1,3.22,21.0,29.1,17.96,2.49,15.0,21.0,1.92,4.24,0.0,9.5,5,25.397142857142857,17.32857142857143,3.948571428571428
256,25.92,2.09,23.4,29.2,18.98,3.06,14.6,21.9,7.12,9.31,0.0,20.2,5,25.13714285714286,16.945714285714285,3.1457142857142855
257,26.1,1.5,24.8,28.3,16.78,1.61,15.2,19.5,0.08,0.11,0.0,0.2,5,24.888571428571428,16.771428571428572,2.2714285714285714
258,23.42,3.83,18.8,28.1,15.74,3.63,11.5,21.2,0.0,0.0,0.0,0.0,5,24.814285714285713,16.851428571428574,2.1085714285714285
259,23.9,1.29,21.7,25.1,14.72,3.0,12.6,19.8,0.62,1.39,0.0,3.1,5,24.634285714285713,16.465714285714284,1.8885714285714286
260,23.78,1.78,22.0,26.3,16.4,3.14,11.6,20.2,0.6,1.03,0.0,2.4,5,24.26571428571429,15.831428571428573,0.88
261,24.48,3.34,21.3,28.6,17.38,1.69,14.9,19.1,4.42,9.39,0.0,21.2,5,23.842857142857138,15.448571428571427,0.8714285714285713
262,24.84,5.23,17.4,30.4,15.26,3.84,9.6,19.5,0.38,0.85,0.0,1.9,5,23.919999999999998,15.262857142857142,1.1228571428571428
263,23.34,4.16,16.9,27.7,14.54,3.78,9.8,18.4,0.06,0.13,0.0,0.3,5,23.580000000000002,15.134285714285713,2.1685714285714286
264,23.14,2.95,18.6,26.4,14.1,3.66,9.1,18.0,0.02,0.04,0.0,0.1,5,23.282857142857143,14.777142857142858,3.52
265,23.96,1.5,22.1,25.8,14.44,4.05,9.4,20.7,1.76,2.63,0.0,5.9,5,22.888571428571428,14.362857142857141,3.4457142857142853
266,21.52,4.96,16.5,27.0,13.82,2.55,10.5,17.6,7.94,12.4,0.0,28.4,5,22.40285714285714,14.397142857142857,3.802857142857143
267,21.7,1.68,20.5,24.4,13.9,2.78,9.6,16.4,10.06,14.07,0.0,29.2,5,22.291428571428572,14.491428571428571,3.822857142857143
268,21.72,2.56,17.8,24.1,14.48,1.47,12.8,16.8,3.9,5.6,0.0,12.9,5,22.054285714285715,14.625714285714285,4.577142857142857
269,21.44,2.65,16.9,23.7,15.5,1.71,13.7,17.9,2.88,3.29,0.0,7.4,5,21.482857142857142,14.637142857142859,6.397142857142858
270,22.56,3.18,18.0,26.1,15.2,3.56,10.0,18.6,0.2,0.35,0.0,0.8,5,21.285714285714285,14.597142857142856,6.105714285714286
271,21.48,1.85,19.4,23.6,15.04,3.67,11.0,19.6,5.3,6.62,0.0,13.5,5,21.222857142857144,14.457142857142857,5.345714285714286
272,19.96,2.07,17.7,23.3,14.52,3.1,11.7,19.0,14.5,26.97,0.0,62.2,5,21.04571428571429,14.217142857142857,5.445714285714287
273,20.14,2.01,17.4,22.2,13.54,1.8,11.1,15.9,5.9,12.75,0.0,28.7,5,20.90857142857143,13.771428571428572,5.611428571428571
274,21.26,2.65,17.8,24.7,12.92,2.22,9.9,15.0,4.74,10.6,0.0,23.7,5,20.602857142857143,13.391428571428571,9.094285714285714
275,20.48,3.85,15.5,24.6,12.8,2.02,10.1,15.5,4.6,7.97,0.0,18.4,5,20.48857142857143,13.128571428571428,9.139999999999999
276,20.48,5.52,12.0,25.9,12.38,2.67,8.9,14.9,4.04,9.03,0.0,20.2,5,20.631428571428575,12.997142857142856,7.159999999999999
277,20.42,4.82,13.2,26.1,12.54,3.7,8.3,17.4,24.58,46.14,0.0,106.2,5,21.03142857142857,13.065714285714288,7.8514285714285705
278,20.68,2.99,16.2,24.1,13.2,1.62,11.3,15.5,5.62,12.34,0.0,27.7,5,20.69142857142857,12.722857142857142,7.188571428571428
279,20.96,0.85,20.0,22.0,13.6,3.07,10.4,17.4,0.64,1.17,0.0,2.7,5,20.374285714285715,12.271428571428572,6.5600000000000005
280,22.94,1.93,20.1,24.9,14.02,1.77,11.9,15.8,10.74,20.44,0.0,47.1,5,20.26571428571429,12.088571428571427,6.122857142857142
281,18.88,3.43,15.0,23.6,10.52,2.45,7.4,14.1,0.1,0.17,0.0,0.4,5,20.271428571428572,11.894285714285715,2.6342857142857143
282,18.26,2.48,15.3,20.8,9.64,3.47,6.7,15.5,0.2,0.34,0.0,0.8,5,20.12,11.614285714285714,2.577142857142857
283,19.72,2.35,17.7,23.6,11.1,4.06,7.6,16.5,0.98,2.19,0.0,4.9,5,19.885714285714283,11.454285714285716,2.7885714285714287
284,20.46,1.27,18.9,22.1,11.18,4.42,6.7,16.6,0.16,0.36,0.0,0.8,5,19.37142857142857,10.985714285714284,1.782857142857143
285,19.62,3.29,14.8,23.4,11.24,3.2,7.1,15.5,5.22,11.67,0.0,26.1,5,19.374285714285715,10.90857142857143,1.802857142857143
286,19.32,2.97,15.1,22.2,12.48,2.58,9.1,14.8,2.12,3.09,0.0,6.9,5,19.365714285714287,10.882857142857144,2.7457142857142856
287,19.34,4.58,12.3,25.1,10.74,2.9,8.6,15.7,3.7,6.0,0.0,13.8,5,18.914285714285715,10.508571428571429,2.96
288,18.9,3.75,14.7,24.2,9.98,3.76,5.3,15.1,0.24,0.54,0.0,1.2,5,18.36285714285714,9.977142857142857,2.9657142857142853
289,18.2,2.96,15.6,23.3,9.46,3.74,5.2,14.9,6.8,9.71,0.0,22.1,5,18.034285714285712,9.48,2.22
290,16.56,1.43,15.2,18.5,8.48,3.11,4.0,11.6,2.48,3.13,0.0,6.6,5,18.122857142857143,9.248571428571427,2.66
291,16.6,2.12,13.5,19.4,7.46,1.39,6.3,9.7,0.2,0.31,0.0,0.7,5,18.228571428571428,9.274285714285714,2.32
292,17.32,3.06,12.3,20.3,7.76,2.04,5.3,10.6,0.0,0.0,0.0,0.0,5,18.337142857142858,9.545714285714284,2.2857142857142856
293,19.94,4.14,14.5,24.4,10.86,4.03,6.4,14.0,5.2,11.63,0.0,26.0,5,18.268571428571427,9.794285714285715,2.0228571428571427
294,20.08,4.14,15.9,26.3,10.92,3.53,5.8,14.4,1.32,2.48,0.0,5.7,5,18.517142857142858,9.94,1.8514285714285716
295,19.66,4.44,13.9,25.9,11.88,3.94,6.9,16.7,0.0,0.0,0.0,0.0,5,18.794285714285714,10.365714285714287,2.254285714285714
296,17.72,3.08,15.0,22.1,11.2,3.32,7.1,16.2,4.96,10.81,0.0,24.3,5,19.108571428571427,11.031428571428572,4.534285714285715
297,18.3,2.51,15.5,21.1,9.5,3.16,4.6,12.3,1.28,1.88,0.0,4.6,5,18.74857142857143,10.991428571428571,4.048571428571429
298,18.54,4.44,11.2,22.2,10.44,4.29,6.4,15.2,3.02,5.14,0.0,12.1,5,18.357142857142858,10.737142857142857,3.9257142857142857
299,19.52,2.84,16.8,23.7,12.42,2.54,10.1,16.1,15.96,34.63,0.0,77.9,5,17.711428571428574,10.205714285714285,5.54
300,17.42,3.53,14.8,23.5,10.58,3.16,5.1,12.9,1.8,3.59,0.0,8.2,5,17.614285714285717,9.81142857142857,5.645714285714286
301,17.34,5.4,12.9,26.7,9.14,5.18,2.7,16.4,0.46,1.03,0.0,2.3,5,17.291428571428572,9.722857142857142,5.825714285714286
302,15.14,1.6,13.4,17.2,8.16,2.37,5.5,11.5,11.3,14.33,0.0,34.9,5,17.048571428571428,9.56857142857143,6.268571428571429
303,17.04,5.71,8.2,23.6,8.44,5.02,2.3,13.9,5.7,8.3,0.0,19.1,5,16.091428571428573,8.662857142857144,4.022857142857143
304,16.04,7.36,8.3,27.0,8.88,5.28,0.4,12.9,2.54,3.48,0.0,6.6,5,15.51142857142857,7.771428571428571,3.768571428571429
305,16.84,6.7,9.2,26.8,9.36,5.09,3.4,15.2,6.12,7.95,0.0,18.9,5,15.137142857142857,7.188571428571429,3.7028571428571433
306,12.82,5.18,6.9,19.9,6.08,4.39,0.1,11.1,0.24,0.48,0.0,1.1,5,15.517142857142858,7.222857142857143,2.0914285714285716
307,13.36,2.38,11.2,17.4,4.34,2.3,1.3,7.7,0.02,0.04,0.0,0.1,5,15.711428571428572,7.488571428571428,1.282857142857143
308,14.72,3.24,10.0,18.9,5.06,1.99,3.7,8.5,0.0,0.0,0.0,0.0,5,16.277142857142856,7.691428571428572,1.1
309,17.8,4.67,10.7,22.3,8.4,4.77,3.5,15.6,0.02,0.04,0.0,0.1,5,16.23142857142857,7.345714285714286,0.22571428571428573
310,18.4,6.94,10.8,26.5,10.3,6.96,2.7,17.9,0.04,0.05,0.0,0.1,5,16.64857142857143,7.2285714285714295,0.22
311,20.0,4.91,11.8,24.1,10.3,4.49,3.1,14.8,1.26,2.4,0.0,5.5,5,16.985714285714288,7.637142857142857,0.2742857142857143
312,16.52,4.48,10.9,21.4,6.94,1.4,4.6,7.9,0.0,0.0,0.0,0.0,5,17.437142857142856,8.262857142857143,1.3285714285714287
313,15.74,4.25,10.4,20.8,5.26,1.94,3.2,8.1,0.2,0.45,0.0,1.0,5,17.088571428571427,8.14,2.2257142857142855
314,15.72,3.35,10.7,19.6,7.2,3.09,3.3,11.7,0.4,0.43,0.0,0.9,5,16.12857142857143,7.171428571428572,2.634285714285714
315,17.88,4.1,12.0,21.9,9.44,5.26,3.9,15.7,7.38,8.38,0.0,17.3,5,14.602857142857143,6.142857142857143,2.4714285714285715
316,15.36,5.97,6.6,20.7,7.54,5.28,-0.2,14.2,6.3,7.26,0.0,14.8,5,13.931428571428572,5.451428571428572,2.8742857142857146
317,11.68,3.41,8.3,16.3,3.52,3.73,-2.1,6.8,2.9,2.84,0.0,6.2,5,13.542857142857143,5.322857142857143,3.242857142857143
318,9.32,1.76,7.7,11.3,3.1,0.93,1.9,4.3,0.12,0.27,0.0,0.6,5,13.174285714285714,4.814285714285715,3.2199999999999998
319,11.82,4.02,8.2,17.6,2.1,1.69,-0.6,3.7,2.82,3.28,0.0,6.6,5,12.319999999999999,4.082857142857143,2.2314285714285718
320,13.02,3.31,9.5,16.8,4.36,1.67,2.3,6.3,2.78,6.16,0.0,13.8,5,11.51142857142857,3.2400000000000007,1.417142857142857
321,13.14,4.76,8.1,18.0,3.64,2.21,1.1,6.7,0.24,0.54,0.0,1.2,5,11.168571428571429,3.1000000000000005,1.0085714285714285
322,11.9,7.24,2.2,19.0,4.32,4.8,-1.2,10.3,0.46,0.45,0.0,0.9,5,11.379999999999999,3.045714285714286,2.62
323,9.7,3.89,4.3,14.1,1.64,3.87,-2.8,6.8,0.6,1.34,0.0,3.0,5,11.22857142857143,3.2885714285714287,3.2314285714285718
324,9.28,5.08,3.3,14.8,2.54,4.4,-1.5,8.2,0.04,0.09,0.0,0.2,5,10.831428571428571,3.1,3.302857142857143
325,10.8,4.27,4.4,15.7,2.72,4.16,-2.8,7.1,11.4,21.1,0.0,48.7,5,10.288571428571428,2.814285714285714,3.268571428571429
326,10.76,3.59,5.4,14.2,3.8,2.71,1.0,8.0,7.1,9.69,0.0,22.3,5,9.977142857142857,2.54,3.2800000000000002
327,10.24,3.27,5.6,14.3,3.04,2.26,-0.1,5.3,3.28,6.79,0.0,15.4,5,10.374285714285715,2.914285714285714,4.08
328,9.34,1.74,6.8,11.0,1.64,2.74,-1.3,5.9,0.0,0.0,0.0,0.0,5,10.691428571428572,3.117142857142857,4.685714285714285
329,9.72,3.32,3.9,11.8,2.4,3.82,-3.9,6.0,0.54,0.95,0.0,2.2,5,10.491428571428571,3.1314285714285717,3.6485714285714286
330,12.48,3.37,8.0,16.7,4.26,5.03,-2.9,10.3,6.2,5.22,0.0,13.8,5,9.885714285714286,2.5828571428571427,2.64
331,11.5,4.24,4.8,15.4,3.96,2.55,0.7,7.1,4.28,5.93,0.0,12.0,5,9.76857142857143,2.1999999999999997,3.434285714285714
332,9.4,4.43,3.9,13.2,2.82,3.27,-1.8,5.2,4.14,7.43,0.0,17.2,5,9.594285714285714,2.0828571428571427,3.662857142857143
333,6.52,2.97,2.4,10.6,-0.04,2.57,-4.3,2.3,0.04,0.09,0.0,0.2,5,9.485714285714286,2.0285714285714285,3.6542857142857144
334,9.42,5.47,3.2,16.4,0.36,3.25,-2.0,5.5,8.84,13.56,0.0,30.9,5,9.071428571428571,1.7885714285714285,3.6371428571428575
335,8.12,4.41,2.6,14.7,0.82,2.58,-3.3,3.8,1.6,2.75,0.0,6.4,5,8.611428571428572,1.4885714285714282,3.1457142857142864
336,8.96,5.34,3.5,15.2,2.02,4.45,-2.6,7.1,0.48,1.07,0.0,2.4,5,8.22,1.182857142857143,3.434285714285714
337,9.58,3.04,4.9,13.4,2.58,3.45,-1.9,6.7,6.08,8.67,0.0,18.8,5,8.365714285714285,1.3885714285714283,3.9542857142857146
338,8.28,2.72,4.6,11.0,1.86,3.32,-2.4,5.7,0.84,1.88,0.0,4.2,5,8.028571428571428,1.5057142857142856,3.1371428571428575
339,6.66,1.33,4.6,8.2,0.68,2.18,-2.2,3.8,6.16,11.1,0.0,25.6,5,8.017142857142856,1.5285714285714285,2.9371428571428573
340,7.54,6.57,0.1,15.7,1.4,4.55,-1.9,9.2,3.68,5.29,0.0,11.5,5,7.828571428571428,1.3457142857142856,3.137142857142858
341,7.06,4.51,3.6,14.1,1.18,5.91,-3.2,11.3,3.12,6.92,0.0,15.5,5,7.88,1.3942857142857144,3.1685714285714286
342,8.04,3.58,3.6,11.6,0.98,3.21,-1.9,6.0,0.2,0.45,0.0,1.0,5,8.505714285714285,1.6085714285714285,5.445714285714287
343,7.64,4.08,3.8,12.8,0.74,2.24,-1.4,3.7,1.88,4.04,0.0,9.1,5,8.734285714285715,1.5628571428571427,4.685714285714286
344,9.94,4.19,4.5,16.0,2.92,3.33,-1.0,6.7,6.3,12.68,0.0,28.9,5,8.72,1.4028571428571426,4.16
345,12.66,4.89,4.9,17.6,3.36,2.36,1.1,6.3,16.78,13.65,0.0,33.4,5,8.411428571428571,1.1057142857142856,3.9314285714285715
346,8.26,4.44,3.9,13.3,0.36,2.96,-2.0,3.8,0.84,0.78,0.0,1.8,5,8.26,0.8342857142857143,4.517142857142857
347,7.44,5.58,0.2,15.0,0.28,4.35,-4.4,6.0,0.0,0.0,0.0,0.0,5,8.448571428571428,1.1542857142857144,5.514285714285714
348,4.9,3.67,0.2,10.5,-0.9,3.45,-5.1,3.0,1.52,3.4,0.0,7.6,5,8.465714285714286,1.2857142857142858,5.811428571428571
349,6.98,3.93,3.2,11.7,-0.92,2.15,-3.8,2.1,4.3,7.64,0.0,17.7,5,7.654285714285715,0.9571428571428572,5.628571428571428
350,8.96,5.34,0.7,14.9,2.98,5.12,-4.1,10.3,8.86,8.7,0.0,20.1,5,7.142857142857143,0.5800000000000001,5.6
351,10.06,5.7,1.4,14.6,3.84,5.18,-4.2,8.2,8.38,9.37,0.0,20.1,5,6.6000000000000005,0.07428571428571429,5.6657142857142855
352,6.98,6.44,-2.0,15.3,1.06,5.33,-6.7,6.2,15.5,30.96,0.0,70.8,5,6.340000000000001,-0.2314285714285714,5.571428571428571
353,4.68,3.57,-1.1,7.7,-2.28,3.73,-8.5,1.5,0.64,1.21,0.0,2.8,5,5.857142857142857,-0.62,5.354285714285715
354,3.64,2.09,1.5,7.1,-3.26,2.32,-6.2,-0.1,0.46,0.65,0.0,1.4,5,5.248571428571429,-2.0114285714285716,4.557142857142857
355,3.08,1.87,0.5,5.5,-3.04,2.3,-6.6,-0.9,0.86,1.76,0.0,4.0,5,4.591428571428572,-2.897142857142857,3.5285714285714285
356,3.6,6.32,-6.9,8.2,-3.64,5.0,-11.5,0.4,2.78,3.81,0.0,7.0,5,4.5600000000000005,-3.4285714285714284,2.617142857142857
357,4.7,5.79,-3.0,12.9,-6.76,6.17,-14.6,-1.9,3.28,7.17,0.0,16.1,5,4.317142857142858,-3.491428571428571,2.531428571428571
358,5.46,7.23,-3.9,15.0,-2.36,6.85,-13.4,4.8,1.18,1.59,0.0,3.7,5,4.417142857142857,-3.3628571428571434,2.599999999999999
359,6.76,7.35,-2.1,14.9,-2.66,4.61,-9.9,1.0,9.12,18.19,0.0,41.5,5,5.208571428571429,-2.5942857142857143,3.568571428571428
360,2.98,4.9,-1.3,9.0,-2.72,5.69,-7.8,3.6,0.04,0.09,0.0,0.2,5,6.057142857142857,-1.662857142857143,3.662857142857143
361,4.34,3.01,2.4,9.5,-2.36,5.13,-7.6,5.8,0.94,1.52,0.0,3.5,5,6.748571428571429,-0.34,3.517142857142857
362,8.62,1.88,6.8,11.3,2.34,4.62,-3.6,9.0,7.64,13.14,0.0,30.7,5,7.291428571428571,0.42285714285714276,4.082857142857143
363,9.54,3.87,4.3,13.9,2.88,3.92,-2.2,7.2,3.44,5.12,0.0,11.9,5,7.651428571428572,1.26,3.6885714285714286
364,9.54,3.52,4.6,13.0,2.5,4.52,-3.6,8.3,2.26,3.58,0.0,8.3,5,8.568571428571428,1.7857142857142858,4.425714285714285
365,9.26,1.92,6.4,11.4,2.98,3.47,-1.5,6.8,5.14,4.49,0.0,9.9,5,8.794285714285715,2.097142857142857,4.82
