,mae,coverage,pinball,over_pred_rate,avg_buffer,model_type,algorithm
Gradient Boosting Multi,2.9989263211209636,86.63256873562192,0.3248960252729704,86.63256873562192,3.2372787697003873,Multi,Gradient Boosting
LightGBM Multi,2.6661822125665453,85.49572286869318,0.3188036170814632,85.49572286869318,2.8774272242538403,Multi,LightGBM
XGBoost Multi,2.6932231271019687,83.1349250664463,0.38309094475446565,83.1349250664463,2.907550619608413,Multi,XGBoost
Gradient Boosting Single,2.743879974578377,91.84106492752329,0.2171310905941374,91.84106492752329,2.890930092886308,Single,Gradient Boosting
LightGBM Single,2.7799878752912424,92.05771335403034,0.23466061176079084,92.05771335403034,2.904371112055386,Single,LightGBM
XGBoost Single,2.4865403047896604,90.23071940678534,0.24203184503973135,90.23071940678534,2.610815004086081,Single,XGBoost
